date;confirmed;recovered;dead
0;4889.000000;64.000000;8.000000
1;5125.277951;80.738201;8.009040
2;5385.851372;108.348780;8.018090
3;5666.974753;143.900059;8.027151
4;5966.536947;185.550091;8.036221
5;6283.426713;232.159572;8.045302
6;6617.158821;283.043276;8.054393
7;6967.646517;337.810290;8.063495
8;7335.060552;396.261258;8.072607
9;7719.740917;458.322276;8.081729
10;8122.141253;524.002380;8.090861
11;8542.793726;593.366205;8.100004
12;8982.286804;666.516433;8.109157
13;9441.251197;743.582525;8.118320
14;9920.350980;824.713529;8.127494
15;10420.278002;910.073490;8.136678
16;10941.748396;999.838561;8.145872
17;11485.500408;1094.195190;8.155077
18;12052.293078;1193.339024;8.164292
19;12642.905456;1297.474255;8.173518
20;13258.136155;1406.813267;8.182754
21;13898.803121;1521.576470;8.192001
22;14565.743533;1641.992258;8.201258
23;15259.813789;1768.297047;8.210525
24;15981.889541;1900.735366;8.219803
25;16732.865756;2039.559982;8.229091
26;17513.656796;2185.032047;8.238390
27;18325.196508;2337.421259;8.247700
28;19168.438303;2497.006038;8.257019
29;20044.355250;2664.073701;8.266350
30;20953.940153;2838.920651;8.275691
31;21898.205625;3021.852561;8.285042
32;22878.184159;3213.184566;8.294404
33;23894.928184;3413.241455;8.303777
34;24949.510123;3622.357869;8.313160
35;26043.022432;3840.878487;8.322554
36;27176.577635;4069.158231;8.331959
37;28351.308352;4307.562457;8.341374
38;29568.367316;4556.467156;8.350800
39;30828.927376;4816.259150;8.360236
40;32134.181501;5087.336292;8.369683
41;33485.342765;5370.107660;8.379141
42;34883.644328;5664.993762;8.388609
43;36330.339405;5972.426732;8.398088
44;37826.701227;6292.850528;8.407578
45;39374.022988;6626.721131;8.417079
46;40973.617794;6974.506745;8.426590
47;42626.818584;7336.687994;8.436112
48;44334.978059;7713.758120;8.445645
49;46099.468594;8106.223181;8.455189
50;47921.682132;8514.602245;8.464743
51;49803.030087;8939.427590;8.474308
52;51744.943221;9381.244896;8.483884
53;53748.871515;9840.613441;8.493471
54;55816.284041;10318.106295;8.503068
55;57948.668805;10814.310509;8.512677
56;60147.532600;11329.827311;8.522296
57;62414.400837;11865.272291;8.531926
58;64750.817371;12421.275593;8.541567
59;67158.344315;12998.482100;8.551219
60;69638.561852;13597.551620;8.560882
61;72193.068025;14219.159073;8.570556
62;74823.478531;14863.994666;8.580241
63;77531.426497;15532.764080;8.589937
64;80318.562250;16226.188646;8.599643
65;83186.553079;16945.005521;8.609361
66;86137.082987;17689.967862;8.619089
67;89171.852432;18461.844999;8.628829
68;92292.578066;19261.422604;8.638579
69;95500.992457;20089.502860;8.648341
70;98798.843807;20946.904623;8.658114
71;102187.895666;21834.463588;8.667897
72;105669.926626;22753.032445;8.677692
73;109246.730021;23703.481040;8.687498
74;112920.113605;24686.696525;8.697315
75;116691.899236;25703.583514;8.707143
76;120563.922542;26755.064226;8.716982
77;124538.032582;27842.078637;8.726832
78;128616.091506;28965.584616;8.736693
79;132799.974195;30126.558067;8.746566
80;137091.567907;31325.993066;8.756449
81;141492.771908;32564.901991;8.766344
82;146005.497100;33844.315650;8.776250
83;150631.665638;35165.283413;8.786167
84;155373.210546;36528.873325;8.796096
85;160232.075325;37936.172231;8.806035
86;165210.213550;39388.285887;8.815986
87;170309.588469;40886.339074;8.825948
88;175532.172588;42431.475703;8.835921
89;180879.947260;44024.858916;8.845906
90;186354.902256;45667.671191;8.855902
91;191959.035345;47361.114431;8.865909
92;197694.351854;49106.410060;8.875928
93;203562.864235;50904.799107;8.885957
94;209566.591624;52757.542289;8.895999
95;215707.559388;54665.920093;8.906051
96;221987.798680;56631.232845;8.916115
97;228409.345978;58654.800784;8.926190
98;234974.242627;60737.964125;8.936277
99;241684.534378;62882.083123;8.946375
100;248542.270915;65088.538126;8.956484
101;255549.505388;67358.729633;8.966605
102;262708.293936;69694.078334;8.976737
103;270020.695209;72096.025160;8.986881
104;277488.769889;74566.031316;8.997036
