Time, S, I, R
0,2,0.1,0
0.1,1.99593,0.103661,0.000407282
0.55,1.97583,0.121739,0.00243184
1.67057,1.91087,0.180012,0.0091177
2.79115,1.81949,0.261588,0.0189177
3.91172,1.6959,0.371117,0.0329871
5.11679,1.52391,0.521719,0.0543739
6.44192,1.29355,0.719295,0.0871506
8.02952,0.989068,0.970104,0.140828
9.34173,0.747755,1.15548,0.196765
10.8872,0.509352,1.3171,0.273552
12.1327,0.362968,1.39571,0.341317
13.3727,0.255397,1.43299,0.411616
14.6126,0.178796,1.43827,0.482931
15.8525,0.125383,1.42071,0.553906
17.0924,0.088489,1.38791,0.623604
18.417,0.0616239,1.34241,0.69597
19.8417,0.0423664,1.28672,0.770909
20,0.0406791,1.28028,0.779037
