Time, S, I, R
0,133.71,0.554,0.028
0.02,133.54,0.723588,0.028127
0.0426613,133.285,0.978812,0.0283185
0.0653225,132.94,1.32317,0.0285773
0.0879838,132.476,1.78704,0.0289272
0.110645,131.852,2.41058,0.0293993
0.133306,131.016,3.24636,0.0300357
0.155968,129.899,4.3623,0.0308918
0.178629,128.415,5.84472,0.0320404
0.20129,126.458,7.80059,0.0335764
0.223951,123.898,10.3581,0.0356212
0.246613,120.59,13.6634,0.0383274
0.269274,116.379,17.871,0.041882
0.291935,111.12,23.1254,0.0465062
0.316484,104.12,30.1192,0.0530132
0.343174,94.9426,39.2872,0.0622401
0.373093,82.9461,51.2701,0.0757482
0.408222,67.4328,66.7628,0.0964542
0.450989,48.6679,85.495,0.129065
0.493756,32.5819,101.541,0.169192
0.509574,27.6373,106.469,0.185651
0.538725,20.0312,114.043,0.217838
0.560485,15.5508,118.498,0.243156
0.583932,11.724,122.297,0.271404
0.604931,9.04232,124.952,0.297376
0.625931,6.93963,127.029,0.323843
0.646931,5.30543,128.636,0.350694
0.667931,4.04404,129.87,0.377843
0.68893,3.07556,130.811,0.405219
0.70993,2.33498,131.524,0.432767
0.73093,1.77042,132.061,0.460446
0.75193,1.34104,132.463,0.488223
0.772929,1.01506,132.761,0.516072
0.793929,0.767908,132.98,0.543976
0.814929,0.580703,133.139,0.571919
0.835929,0.439011,133.253,0.599891
0.856928,0.331825,133.332,0.627882
0.879283,0.246283,133.388,0.657695
0.902458,0.180785,133.423,0.688612
0.926635,0.130935,133.44,0.720873
0.951984,0.0933587,133.444,0.754698
0.978697,0.0653651,133.436,0.790344
1.007,0.0448088,133.419,0.828103
1.03714,0.0299735,133.394,0.868312
1.06942,0.0194868,133.361,0.911371
1.1042,0.0122549,133.322,0.957752
1.14192,0.00741207,133.277,1.00803
1.18312,0.00428092,133.225,1.06293
1.22847,0.00233992,133.166,1.12334
1.27886,0.0011965,133.1,1.19042
1.33543,0.000563734,133.026,1.26569
1.39975,0.000239764,132.941,1.35122
1.474,8.94856e-05,132.842,1.44989
1.56133,2.81662e-05,132.726,1.56586
1.66651,7.08472e-06,132.587,1.70539
1.79711,1.36177e-06,132.414,1.87843
1.96575,2.50658e-07,132.19,2.10155
2.19362,1.43807e-07,131.89,2.40242
2.50029,5.02824e-07,131.486,2.80628
2.72781,2.77594e-07,131.187,3.10508
2.99635,4.06292e-07,130.835,3.4569
3.29133,1.05483e-06,130.45,3.84228
3.49072,2.93856e-07,130.19,4.10212
3.7291,1.99925e-07,129.88,4.4121
4.02931,5.53753e-07,129.491,4.80142
4.26642,3.54135e-07,129.184,5.1081
4.53279,4.47981e-07,128.84,5.45174
4.81928,8.77696e-07,128.472,5.82033
5.04402,3.99617e-07,128.183,6.10873
5.29126,3.07248e-07,127.867,6.42526
5.57702,5.6476e-07,127.502,6.79013
5.86277,1.01963e-06,127.138,7.15395
6.08153,3.83561e-07,126.86,7.43178
6.32538,2.56027e-07,126.551,7.74074
6.61764,5.07989e-07,126.182,8.11007
6.87801,4.84216e-07,125.854,8.43818
7.15306,6.35347e-07,125.508,8.78386
7.42811,8.19577e-07,125.163,9.1286
7.70316,1.0394e-06,124.82,9.47239
7.93691,5.00232e-07,124.528,9.76381
8.18253,3.12888e-07,124.223,10.0693
8.46539,4.50349e-07,123.872,10.4202
8.7697,1.00699e-06,123.495,10.7966
8.9886,3.30982e-07,123.225,11.0666
9.24134,2.29722e-07,122.914,11.3776
9.55091,5.4481e-07,122.534,11.7576
9.8087,4.10761e-07,122.219,12.073
10.0898,5.14638e-07,121.876,12.4162
10.3839,8.37732e-07,121.518,12.774
10.6322,4.8518e-07,121.217,13.0754
10.8943,3.77838e-07,120.899,13.3926
11.1849,5.43252e-07,120.549,13.7434
11.486,9.57832e-07,120.186,14.1059
11.7232,4.07895e-07,119.901,14.3906
11.9834,2.86122e-07,119.59,14.7023
12.2885,5.20311e-07,119.225,15.0665
12.5672,5.31261e-07,118.894,15.3984
12.8564,6.68e-07,118.55,15.7417
13.1455,8.25071e-07,118.208,16.084
13.4347,1.00106e-06,117.867,16.4253
13.6871,5.35783e-07,117.57,16.7225
13.9484,3.43404e-07,117.263,17.0293
14.2438,4.51515e-07,116.917,17.3751
14.561,9.11466e-07,116.547,17.7454
14.8047,3.80098e-07,116.263,18.029
15.0759,2.83457e-07,115.948,18.3439
15.3944,5.56819e-07,115.579,18.7127
15.6756,4.97328e-07,115.255,19.0373
15.971,5.88395e-07,114.915,19.3772
16.2664,6.83605e-07,114.576,19.7161
16.5618,7.79943e-07,114.238,20.0541
16.8572,8.73879e-07,113.901,20.391
17.1526,9.6157e-07,113.565,20.727
17.4479,1.03911e-06,113.23,21.0619
17.7122,5.73564e-07,112.931,21.3607
17.9764,3.11972e-07,112.633,21.6588
18.2812,3.87895e-07,112.291,22.0015
18.6184,8.91862e-07,111.912,22.3795
18.869,3.49092e-07,111.632,22.6596
19.1532,2.69955e-07,111.316,22.9764
19.4903,5.85984e-07,110.941,23.3511
19.7837,5.26744e-07,110.616,23.676
