date;confirmed;recovered;death
11/02/20;2;1;0
12/02/20;2;2;0
02/03/20;3;2;0
05/03/20;4;2;0
06/03/20;10;3;0
07/03/20;14;3;0
08/03/20;17;3;0
09/03/20;20;3;0
11/03/20;28;3;0
12/03/20;34;3;0
13/03/20;45;3;0
14/03/20;59;3;0
15/03/20;63;3;0
16/03/20;93;4;0
17/03/20;114;5;0
18/03/20;147;5;0
19/03/20;199;5;0
20/03/20;253;12;0
21/03/20;306;16;0
22/03/20;367;16;0
23/03/20;438;17;0
24/03/20;495;22;0
25/03/20;658;29;0
26/03/20;840;38;2
27/03/20;1036;45;3
28/03/20;1264;49;4
29/03/20;1534;64;8
30/03/20;1836;66;9
31/03/20;2337;121;17
01/04/20;2777;190;24
02/04/20;3548;235;30
03/04/20;4149;281;34
04/04/20;4731;333;43
05/04/20;5389;355;45
06/04/20;6343;406;47
07/04/20;7497;494;58
08/04/20;8672;580;63
09/04/20;10131;698;76
10/04/20;11917;795;94
11/04/20;13584;1045;106
12/04/20;15770;1291;130
13/04/20;18328;1470;148
14/04/20;21102;1694;170
15/04/20;24490;1986;198
16/04/20;27938;2304;232
17/04/20;32008;2590;273
18/04/20;36793;3057;313
19/04/20;42853;3291;361
20/04/20;47121;3446;405
21/04/20;52763;3873;456
22/04/20;57999;4420;513
23/04/20;62773;4891;555
24/04/20;68622;5568;615
25/04/20;74588;6250;681
26/04/20;80949;6767;747
27/04/20;87147;7346;794
28/04/20;93558;8456;867
29/04/20;99399;10286;972
30/04/20;106498;11619;1073
01/05/20;114431;13220;1165
02/05/20;124054;15013;1222
03/05/20;134687;16639;1280
04/05/20;145268;18095;1356
05/05/20;155370;19865;1451
06/05/20;165929;21327;1537
07/05/20;177160;23803;1625
08/05/20;187859;26608;1723
09/05/20;198676;31916;1827
10/05/20;209688;34306;1915
11/05/20;221344;39801;2009
12/05/20;232243;43512;2116
13/05/20;242271;48003;2212
14/05/20;252245;53530;2305
15/05/20;262843;58226;2418
16/05/20;272043;63166;2537
